Song,Artist,Title,MoodsStrSplit,SampleURL
MT0001757676,Spike Jones,Barstool Cowboy from Old Barstow,"Campy, Giddy, Humorous, Joyous, Rambunctious",http://rovimusic.rovicorp.com/playback.mp3?c=GUFRrKr5MhdajPwZ9arTQoapJnH0KBK7tayJ1L1z1aM=&f=J
MT0001766004,Nuclear Assault,Discharged Reason,"Angry, Harsh, Manic, Paranoid",http://rovimusic.rovicorp.com/playback.mp3?c=ceXuG60fBA4JlJGOB1vi72jIb8Tr8vVfGLIuM5x_WSg=&f=J
MT0001768550,Joe Pass,Blues for O.P.,"Complex, Innocent, Organic, Sparkling",http://rovimusic.rovicorp.com/playback.mp3?c=1vo7qSjn7iDGFSPzKs_r5v3pqi0RS20pHqZddGAWQOA=&f=J
MT0001810607,Ziggy Marley,Long Winter,"Anguished, Distraught, Brooding, Sad",http://rovimusic.rovicorp.com/playback.mp3?c=w5udtzJMa7v08BZmuYUvamjIb8Tr8vVfGLIuM5x_WSg=&f=J
MT0001844620,The Walkabouts,Certain Gift,"Gloomy, Lonely, Mystical",http://rovimusic.rovicorp.com/playback.mp3?c=xZGho985Kg_8a9rMxWWS4mjIb8Tr8vVfGLIuM5x_WSg=&f=J
MT0001870847,Marley Girls,Natty Dread,"Boisterous, Hypnotic, Poignant, Reverent, Spiritual, Summery",http://rovimusic.rovicorp.com/playback.mp3?c=xBaL0Qqemgd0LLpjmOfGBfKUU23ZQzDPVjJ3ONioHGo=&f=J
MT0001871732,Apparat,You Don't Know Me,"Lonely, Sad, Technical",http://rovimusic.rovicorp.com/playback.mp3?c=FlWNshbEHUoJ1F4p7j3SpqwfpsQHuOlGC4-o-yXc8Os=&f=J
MT0001877603,Cephas & Wiggins,Trouble in Mind,"Humorous, Reverent, Spiritual",http://rovimusic.rovicorp.com/playback.mp3?c=_WHs_Zr1m5ae_4hZzoP5yP3pqi0RS20pHqZddGAWQOA=&f=J
MT0001891229,The Prodigy,No Man Army,"Aggressive, Brash, Exciting, Fierce, Fiery, Harsh, Hostile, Intense, Malevolent, Menacing, Paranoid, Raucous, Rebellious, Reckless, Rowdy, Tense, Anxious, Urgent, Volatile",http://rovimusic.rovicorp.com/playback.mp3?c=zCb_YQiqNC53xE1EjzRYXIapJnH0KBK7tayJ1L1z1aM=&f=I
MT0001898830,The Isley Brothers,Get Down off of the Train,"Erotic, Majestic, Powerful",http://rovimusic.rovicorp.com/playback.mp3?c=jwk_R2hLG6zWA9xqeN5gATqpU4hxl5saPDaNIVORh-E=&f=J
MT0001920501,Billie Holiday,Everybody's Laughing,"Gloomy, Melancholy, Sad, Weary",http://rovimusic.rovicorp.com/playback.mp3?c=rkyj9yEXspk47cW32Y--rP3pqi0RS20pHqZddGAWQOA=&f=I
MT0001927746,Maxim,Poison,"Exciting, Fierce, Fiery, Harsh, Hostile, Intense, Malevolent, Menacing, Paranoid, Raucous, Rebellious, Reckless, Rowdy, Tense, Anxious, Urgent, Volatile",http://rovimusic.rovicorp.com/playback.mp3?c=xKZ1A8pr1OSSn8jbmQzGXjqpU4hxl5saPDaNIVORh-E=&f=J
MT0001929641,Jimmy Reed,Roll 'Em Pete,"Greasy, Lazy, Messy, Sparse",http://rovimusic.rovicorp.com/playback.mp3?c=6NATe0yWHmjK9H0thG_tlZjWf7KriH64XH0cLbjLrOY=&f=J
MT0001934726,Jimmy Reed,You Got Me Crying,"Greasy, Lazy, Messy, Sparse, Weary",http://rovimusic.rovicorp.com/playback.mp3?c=efHSNdxTmuhsepwP8AqyzIapJnH0KBK7tayJ1L1z1aM=&f=J
MT0001938929,D.R.I.,"Stupid, Stupid War","Fierce, Hostile, Malevolent, Manic, Outrageous, Reckless",http://rovimusic.rovicorp.com/playback.mp3?c=pVbIMTDp4qTiYbHLDxFlzv3pqi0RS20pHqZddGAWQOA=&f=J
MT0001942272,Jim Brickman,Simple Things,"Calm, Neutral, Restrained, Sparkling, Springlike",http://rovimusic.rovicorp.com/playback.mp3?c=vEvDoV970KK0ClxwrDrDt6wfpsQHuOlGC4-o-yXc8Os=&f=J
MT0001962373,Void,Authority,"Anguished, Distraught, Fierce, Hostile, Manic, Outrageous, Ramshackle",http://rovimusic.rovicorp.com/playback.mp3?c=whVkjnBUEDv7BRgyTqYryP3pqi0RS20pHqZddGAWQOA=&f=I
MT0001967374,Chicago String Band,Clean Cut Mama,"Eccentric, Greasy, Messy",http://rovimusic.rovicorp.com/playback.mp3?c=hO701PxCZqVm57484VMWfs2KXJKuJLE7UG4BJXcyKZ4=&f=J
MT0001972380,Dead Can Dance,I Can See Now,"Brooding, Cerebral, Detached, Gloomy, Hypnotic, Somber, Wintry",http://rovimusic.rovicorp.com/playback.mp3?c=pMJYbW9Q6TC-W_J8YCSlSawfpsQHuOlGC4-o-yXc8Os=&f=J
MT0001975228,Obituary,Back Inside,"Angry, Bleak, Fierce, Harsh, Hostile, Menacing, Ominous, Outrageous, Suffocating, Unsettling",http://rovimusic.rovicorp.com/playback.mp3?c=GMiepa53dMz8qGmY7pt7pc2KXJKuJLE7UG4BJXcyKZ4=&f=J
MT0001980613,Jonathan Edwards,Wheels,"Dreamy, Nostalgic, Pulsing, Sentimental",http://rovimusic.rovicorp.com/playback.mp3?c=aeqpjqu7BeidUP7ZThGzQ2jIb8Tr8vVfGLIuM5x_WSg=&f=J
MT0001982863,María Victoria,Mil Besos,"Anguished, Distraught, Sad",http://rovimusic.rovicorp.com/playback.mp3?c=W6mzVESrxl0Wb10NNBwCzPQIxMnXLaW9NvEpt_rvU6E=&f=J
MT0001993588,Barcode,Showdown,"Negative, Nervous, Jittery",http://rovimusic.rovicorp.com/playback.mp3?c=aNgcANdIn3KV8jRMD2_auoapJnH0KBK7tayJ1L1z1aM=&f=I
MT0002006203,Ray Brown,Ill Wind,"Angst-Ridden, Autumnal, Bitter, Brooding, Gloomy, Melancholy, Restrained, Sad, Soft, Quiet, Weary",http://rovimusic.rovicorp.com/playback.mp3?c=xYDfV1o36a1nTY9nzcFdfPQIxMnXLaW9NvEpt_rvU6E=&f=I
MT0002033629,Celia Cruz,La Bikina,"Brassy, Gutsy, Sexy, Spicy",http://rovimusic.rovicorp.com/playback.mp3?c=7zr3gpty_wrg5aY7KJtaefQIxMnXLaW9NvEpt_rvU6E=&f=I
MT0002050671,The Rance Allen Group,"Talk That Talk, Pt. 2","Bitter, Fierce, Outraged",http://rovimusic.rovicorp.com/playback.mp3?c=mKube58Sfkc0L3t5sIIJljqpU4hxl5saPDaNIVORh-E=&f=J
MT0002053300,Celia Cruz,El Pescador,"Brassy, Gutsy, Sexy, Spicy",http://rovimusic.rovicorp.com/playback.mp3?c=O39eQa1k26GENVtNbQJRofh0BJxFGWncDvRkmPV4knk=&f=I
MT0002057142,The Creatures,Don't Go to Sleep Without Me,"Bleak, Cold, Eerie",http://rovimusic.rovicorp.com/playback.mp3?c=mqcnxtipHxpVR8SPGqO42awfpsQHuOlGC4-o-yXc8Os=&f=J
MT0002070112,Fennesz,Shisheido,"Cerebral, Clinical, Complex, Detached, Eerie, Intense, Summery",http://rovimusic.rovicorp.com/playback.mp3?c=DkKvRrQcSrXsCe7KqXqfBZjWf7KriH64XH0cLbjLrOY=&f=I
MT0002086401,Lightnin' Hopkins,Racetrack Blues,"Greasy, Lazy, Uncompromising",http://rovimusic.rovicorp.com/playback.mp3?c=eEwjwWtZOZhtsSjOtUhwIzqpU4hxl5saPDaNIVORh-E=&f=J
MT0002087541,Siouxsie and the Banshees,Not Forgotten,"Bitter, Bleak, Cold, Gloomy, Ominous, Somber, Wintry",http://rovimusic.rovicorp.com/playback.mp3?c=wq47-mlqCsUzyd1-X7axLP3pqi0RS20pHqZddGAWQOA=&f=J
MT0002119439,The Jordanaires,Hound Dog,"Amiable, Good-Natured, Boisterous, Cheerful, Confident, Energetic, Fun, Humorous, Lively, Playful, Rollicking, Rousing",http://rovimusic.rovicorp.com/playback.mp3?c=Ghr42Ro-jjoD0YEIoOxss_KUU23ZQzDPVjJ3ONioHGo=&f=J
MT0002124238,The Clash,Robber Dub,"Bleak, Confident, Druggy, Hypnotic, Nocturnal, Quirky, Rebellious, Relaxed, Trippy",http://rovimusic.rovicorp.com/playback.mp3?c=eTqneNPf2DHbwD19U2IzKPKUU23ZQzDPVjJ3ONioHGo=&f=I
MT0002126934,Cabaret Voltaire,Eddie's Out,"Bleak, Brittle, Clinical, Cold, Detached, Harsh, Hostile, Menacing, Trippy, Unsettling",http://rovimusic.rovicorp.com/playback.mp3?c=9eonsT743zVOhhJsCQQaLZjWf7KriH64XH0cLbjLrOY=&f=J
MT0002132088,Mariah Carey,Fourth of July,"Calm, Neutral, Dreamy, Precious, Restrained, Sensual, Soft, Quiet",http://rovimusic.rovicorp.com/playback.mp3?c=Y9CTgd8h_rRldO-9aJcPD82KXJKuJLE7UG4BJXcyKZ4=&f=J
MT0002142155,Ella Fitzgerald,The Man That Got Away,"Bitter, Bleak, Brooding, Gloomy, Nocturnal, Sad, Somber, Weary",http://rovimusic.rovicorp.com/playback.mp3?c=lHJuDyn5kaK1cIs_YZidPawfpsQHuOlGC4-o-yXc8Os=&f=I
MT0002161109,Elmer Bernstein,That Old Black Magic,"Exciting, Happy, Humorous",http://rovimusic.rovicorp.com/playback.mp3?c=kPGIBPV1NXmOXZD-Fh6xVvKUU23ZQzDPVjJ3ONioHGo=&f=J
MT0002222957,Gipsy Kings,"Solo, Solo Dire","Cathartic, Fiery, Sexy, Spicy",http://rovimusic.rovicorp.com/playback.mp3?c=GgKequUoOR3mIgcs-UXfh6wfpsQHuOlGC4-o-yXc8Os=&f=J
MT0002233402,C-Murder,Ghetto Ties,"Bitter, Bleak, Gloomy, Paranoid, Snide, Thuggish",http://rovimusic.rovicorp.com/playback.mp3?c=mrfHxATxRFppsIUkS30u6fh0BJxFGWncDvRkmPV4knk=&f=J
MT0002262181,Rod Stewart,Ghetto Blaster,"Lively, Marching, Positive, Powerful, Strong",http://rovimusic.rovicorp.com/playback.mp3?c=_cbIRcoxzAVAb6SzEod-GPh0BJxFGWncDvRkmPV4knk=&f=I
MT0002297016,Tito Puente,Mambo Beat,"Brassy, Exciting, Joyous, Spicy",http://rovimusic.rovicorp.com/playback.mp3?c=o1sOPeh-9uA76pl36g35LGjIb8Tr8vVfGLIuM5x_WSg=&f=J
MT0002351905,Garth Brooks,Ain't Going Down (Til the Sun Comes Up),"Happy, Humorous, Uncompromising",http://rovimusic.rovicorp.com/playback.mp3?c=tTrlQHsY0iqTyeUrRmv5IPQIxMnXLaW9NvEpt_rvU6E=&f=J
MT0002366291,Madonna,Deeper and Deeper [Shep's Fierce Deeper Dub],"Nocturnal, Provocative, Sensual, Sexual, Sexy",http://rovimusic.rovicorp.com/playback.mp3?c=7gEZd6oPY723KgO2ihvrSc2KXJKuJLE7UG4BJXcyKZ4=&f=J
MT0002372242,Dr. Dre,A Nigga Witta Gun,"Angry, Fierce, Fiery, Harsh, Menacing, Provocative, Rebellious, Thuggish, Uncompromising, Volatile",http://rovimusic.rovicorp.com/playback.mp3?c=SFLXBktRgoclb6DgURwhrZjWf7KriH64XH0cLbjLrOY=&f=J
MT0002379222,Michael Franks,Mr. Smooth,"Indulgent, Lazy, Naive, Precious, Sugary",http://rovimusic.rovicorp.com/playback.mp3?c=38LuuyGH3k-Dn6qzzrX3GqwfpsQHuOlGC4-o-yXc8Os=&f=J
MT0002385077,10 Fold B-Low,Puppets,"Negative, Nervous, Jittery",http://rovimusic.rovicorp.com/playback.mp3?c=FR5DiOfPaqVvJkQs3MH6P2jIb8Tr8vVfGLIuM5x_WSg=&f=J
MT0002391847,Lester Flatt,Flint Hill Special,"Fiery, Joyous, Rustic",http://rovimusic.rovicorp.com/playback.mp3?c=R9TOzE8_NLWaf32ZxuSpsfKUU23ZQzDPVjJ3ONioHGo=&f=J
MT0002399275,D.R.I.,Broke,"Fierce, Hostile, Malevolent, Manic, Outraged, Reckless",http://rovimusic.rovicorp.com/playback.mp3?c=Krh-IJenb4v_gbySRN55wKwfpsQHuOlGC4-o-yXc8Os=&f=J
MT0002415184,Joe Henry,Nico Lost One Small Buddha,"Aggressive, Anguished, Distraught",http://rovimusic.rovicorp.com/playback.mp3?c=i-_AY7VZPzehBdWSg_hlCpjWf7KriH64XH0cLbjLrOY=&f=J
MT0002448379,Burt Bacharach,Do You Know the Way to San Jose?,"Amiable, Good-Natured, Bittersweet, Dreamy, Earnest, Effervescent, Elegant, Gentle, Light, Lively, Melancholy, Reflective, Relaxed, Sentimental, Slick, Smooth, Soft, Quiet, Soothing, Sophisticated, Spicy, Stylish, Warm, Wistful",http://rovimusic.rovicorp.com/playback.mp3?c=54-xjwATWdk6ddjQOWfq6qwfpsQHuOlGC4-o-yXc8Os=&f=J
MT0002479795,RZA,Fury in My Eyes/Revenge,"Cathartic, Menacing, Ominous, Tense, Anxious",http://rovimusic.rovicorp.com/playback.mp3?c=wZyB3OzdsHTP6yUniQwHDfh0BJxFGWncDvRkmPV4knk=&f=J
MT0002485672,Fennesz,Transit,"Clinical, Complex, Difficult",http://rovimusic.rovicorp.com/playback.mp3?c=vteximdBDVmB5ENY1xddjPh0BJxFGWncDvRkmPV4knk=&f=J
MT0002525905,Bruce Haack,Popcorn,"Eccentric, Giddy, Silly",http://rovimusic.rovicorp.com/playback.mp3?c=489YRV_mHXYrjhA8QW65pKwfpsQHuOlGC4-o-yXc8Os=&f=J
MT0002532237,Spike Jones,Big Bad Bill,"Campy, Eccentric, Exciting, Giddy, Humorous, Irreverent, Outrageous",http://rovimusic.rovicorp.com/playback.mp3?c=U118iXt0jg84IFFgJMJ3d4apJnH0KBK7tayJ1L1z1aM=&f=J
MT0002536460,Clifton Chenier,The Cat's Dreamin',"Greasy, Lazy, Rustic",http://rovimusic.rovicorp.com/playback.mp3?c=tN3smITSxBzyDe-iEIrpm6wfpsQHuOlGC4-o-yXc8Os=&f=I
MT0002538335,Beenie Man,Red Red,"Outrageous, Provocative, Sexual",http://rovimusic.rovicorp.com/playback.mp3?c=RO_jh_Q8Ba_Q3deLpr24HJjWf7KriH64XH0cLbjLrOY=&f=J
MT0002595792,Spike Jones,The Sheik of Araby,"Campy, Cheerful, Eccentric, Elaborate, Exuberant, Fun, Giddy, Humorous, Joyous, Quirky, Rollicking, Theatrical, Whimsical, Witty",http://rovimusic.rovicorp.com/playback.mp3?c=WykHgvBiXF31E8GmEsiX6pjWf7KriH64XH0cLbjLrOY=&f=J
MT0002602057,JFA,American Buttfuckers,"Campy, Harsh, Reckless, Sexual, Sleazy",http://rovimusic.rovicorp.com/playback.mp3?c=xOg8te4J56e51ktQPN4TxvQIxMnXLaW9NvEpt_rvU6E=&f=I
MT0002634024,Ken Boothe,Is It Because I'm Black?,"Angry, Angst-Ridden, Anguished, Distraught, Bitter, Bleak, Brooding, Gloomy, Gritty, Melancholy, Paranoid, Somber, Tense, Anxious, Weary",http://rovimusic.rovicorp.com/playback.mp3?c=NWGM4mFYCaKJTot_-m-jvvKUU23ZQzDPVjJ3ONioHGo=&f=J
MT0002674708,Mannheim Steamroller,O Tannenbuam,"Atmospheric, Calm, Neutral",http://rovimusic.rovicorp.com/playback.mp3?c=qBMiyu_-bOZGRtWIdktnw2jIb8Tr8vVfGLIuM5x_WSg=&f=J
MT0002698706,José Feliciano,Chico and the Man,"Brooding, Happy, Rousing",http://rovimusic.rovicorp.com/playback.mp3?c=cfBzriC6l29ZBbRGuiWkgGjIb8Tr8vVfGLIuM5x_WSg=&f=J
MT0002698827,Johnny Cash,The Lily of the Valley,"Agreeable, Optimistic, Pulsing, Pure, Relaxed, Swinging",http://rovimusic.rovicorp.com/playback.mp3?c=LA0PH71-XSycKpyrfNwU_PQIxMnXLaW9NvEpt_rvU6E=&f=J
MT0002714805,Kitaro,Spiritual Garden,"Ethereal, Hypnotic, Soft, Quiet, Sprawling",http://rovimusic.rovicorp.com/playback.mp3?c=soVRdHF4DQen1xI05mLkjmjIb8Tr8vVfGLIuM5x_WSg=&f=J
MT0002760912,Baxter,Television,"Bleak, Cold, Gloomy, Ominous",http://rovimusic.rovicorp.com/playback.mp3?c=d2zGqzC1hs6FqoF6icHQ5_KUU23ZQzDPVjJ3ONioHGo=&f=J
MT0002794078,Arrested Development,Searchin' for One Soul,"Agreeable, Euphoric, Positive",http://rovimusic.rovicorp.com/playback.mp3?c=DcvC5d4PfRmpfOYR7e8jkYapJnH0KBK7tayJ1L1z1aM=&f=I
MT0002811975,Aaliyah,Best Friends,"Bright, Confident, Energetic, Gentle, Relaxed, Smooth, Soft, Quiet, Soothing, Sophisticated, Street-Smart, Swaggering, Warm",http://rovimusic.rovicorp.com/playback.mp3?c=xOFlU9yGCuZxhNvz83IH7c2KXJKuJLE7UG4BJXcyKZ4=&f=J
MT0002834532,Merle Haggard,Someone Told My Story,"Bittersweet, Cheerful, Humorous, Light, Relaxed, Soothing",http://rovimusic.rovicorp.com/playback.mp3?c=dIC2rycrCcedJ1SifUtO5awfpsQHuOlGC4-o-yXc8Os=&f=I
MT0002846256,Céline Dion,Miracle,"Calm, Neutral, Delicate, Gentle, Laid-Back, Mellow, Precious, Soothing, Sweet",http://rovimusic.rovicorp.com/playback.mp3?c=T5aNYAN-7L4-RWlUZQIBVc2KXJKuJLE7UG4BJXcyKZ4=&f=J
MT0002894033,Garth Brooks,Beer Run,"Gentle, Happy, Humorous",http://rovimusic.rovicorp.com/playback.mp3?c=OdR9y9J0qoYJRECm7MIOpIapJnH0KBK7tayJ1L1z1aM=&f=I
MT0002915967,Billie Holiday,Billie's Blues,"Bitter, Gloomy, Nocturnal, Restrained, Sad, Weary",http://rovimusic.rovicorp.com/playback.mp3?c=IbVEcjzMsPbPd2jG-IoRT6wfpsQHuOlGC4-o-yXc8Os=&f=J
MT0002960683,Dismember,Carnal Tomb,"Negative, Nervous, Jittery",http://rovimusic.rovicorp.com/playback.mp3?c=5rm6gC8f2q3ZyMVI39lHLPh0BJxFGWncDvRkmPV4knk=&f=J
MT0002986568,Robin Lane & The Chartbusters,When Things Go Wrong,"Anguished, Distraught, Bleak",http://rovimusic.rovicorp.com/playback.mp3?c=Fj3VCg7OkGoLeMhTPGjwEs2KXJKuJLE7UG4BJXcyKZ4=&f=J
MT0003019852,Agnostic Front,My Life,"Angry, Hostile, Menacing, Nihilistic, Outrageous",http://rovimusic.rovicorp.com/playback.mp3?c=tQYliPJvfcRYtG5pJm0YQZjWf7KriH64XH0cLbjLrOY=&f=J
MT0003022328,Antônio Carlos Jobim,Agua de Beber,"Autumnal, Bittersweet, Calm, Neutral, Delicate, Gentle, Intimate, Laid-Back, Mellow, Melancholy, Restrained, Sentimental, Soothing, Summery, Sweet, Wistful",http://rovimusic.rovicorp.com/playback.mp3?c=hIcizEthEDt3NFo0W5BthYapJnH0KBK7tayJ1L1z1aM=&f=J
MT0003025046,Céline Dion,Beautiful Boy,"Calm, Neutral, Delicate, Gentle, Laid-Back, Mellow, Precious, Soothing, Sweet",http://rovimusic.rovicorp.com/playback.mp3?c=8OuPSq9V7AJehxP9RGso-_3pqi0RS20pHqZddGAWQOA=&f=J
MT0003037596,Stevie Wonder,Ecclesiastes,"Gloomy, Quirky, Sad",http://rovimusic.rovicorp.com/playback.mp3?c=jDZw4qjdsCvbD796omemt2jIb8Tr8vVfGLIuM5x_WSg=&f=J
MT0003037754,Graham Coxon,Keep Hope Alive,"Gloomy, Lonely, Nostalgic",http://rovimusic.rovicorp.com/playback.mp3?c=FMyH2AItQmi5LwWhxh7wWKwfpsQHuOlGC4-o-yXc8Os=&f=J
MT0003044417,Paul McCartney,Just Because,"Cheerful, Flowing, Lively, Optimistic, Positive, Pulsing, Strong",http://rovimusic.rovicorp.com/playback.mp3?c=ci4i8mXD1atYLUUJKTq70vQIxMnXLaW9NvEpt_rvU6E=&f=I
MT0003053135,Juan Luis Guerra,Sobremesa,"Lonely, Nostalgic, Sad",http://rovimusic.rovicorp.com/playback.mp3?c=CVvaMnGeUx1RLKOIVnticfKUU23ZQzDPVjJ3ONioHGo=&f=J
MT0003101727,Roberta Flack,Angelitos Negros,"Gloomy, Lonely, Sad, Serious, Striding",http://rovimusic.rovicorp.com/playback.mp3?c=FV-kCWgJsKfgkxz298q8-fKUU23ZQzDPVjJ3ONioHGo=&f=J
MT0003106472,Da Lench Mob,Lost in Tha System,"Acerbic, Angry, Bitter, Hostile, Outraged",http://rovimusic.rovicorp.com/playback.mp3?c=kAZzoqay2okpiluQo7ROYpjWf7KriH64XH0cLbjLrOY=&f=J
MT0003114552,Jimmy Reed,I'm Gonna Help You,"Greasy, Lazy, Messy, Sparse",http://rovimusic.rovicorp.com/playback.mp3?c=wclXsBlwR1U4JFkaTkmWwGjIb8Tr8vVfGLIuM5x_WSg=&f=J
MT0003129858,Controlled Bleeding,The Shallow Sky,"Bleak, Clinical, Cold, Eerie",http://rovimusic.rovicorp.com/playback.mp3?c=lbuScsCgyKYki_aJfVfpzZjWf7KriH64XH0cLbjLrOY=&f=J
MT0003136077,Obituary,Redneck Stomp,"Angry, Bleak, Fierce, Harsh, Hostile, Outrageous, Suffocating, Unsettling",http://rovimusic.rovicorp.com/playback.mp3?c=GMiepa53dMz8qGmY7pt7pawfpsQHuOlGC4-o-yXc8Os=&f=J
MT0003144898,Scissor Sisters,Everybody Wants the Same Thing,"Exciting, Gutsy, Uplifting",http://rovimusic.rovicorp.com/playback.mp3?c=iwJ71l8jVcWfG_arKH9nWZjWf7KriH64XH0cLbjLrOY=&f=J
MT0003170370,Billie Holiday,"One, Two, Button Your Shoe","Happy, Joyous, Silly",http://rovimusic.rovicorp.com/playback.mp3?c=LrcCoOYggZ7B0VK6ZVjjDjqpU4hxl5saPDaNIVORh-E=&f=I
MT0003209662,...And Oceans,White Synthetic Noise,"Negative, Nervous, Jittery",http://rovimusic.rovicorp.com/playback.mp3?c=GLHU-tudo0q1DHM-Oumzt6wfpsQHuOlGC4-o-yXc8Os=&f=J
MT0003213835,Rude,Not Fair,"Erotic, Gloomy, Strong",http://rovimusic.rovicorp.com/playback.mp3?c=EckB6E_H0YihybFOoKB8GZjWf7KriH64XH0cLbjLrOY=&f=J
MT0003243311,Tito Puente,Ecstasy,"Brassy, Exciting, Joyous, Spicy",http://rovimusic.rovicorp.com/playback.mp3?c=DE3S_BZ9ZicxBoO_SUk7W5jWf7KriH64XH0cLbjLrOY=&f=J
MT0003248394,The Jackson 5,Someday at Christmas,"Happy, Innocent, Joyous",http://rovimusic.rovicorp.com/playback.mp3?c=9f2tLPFTwtbFQ25162Lfps2KXJKuJLE7UG4BJXcyKZ4=&f=J
MT0003262589,Pennywise,Nothing,"Belligerent, Bitter, Cathartic, Explosive, Fierce, Rebellious, Rowdy, Tense, Anxious",http://rovimusic.rovicorp.com/playback.mp3?c=pFyHNFkOyg3uBxLNQfsQhvh0BJxFGWncDvRkmPV4knk=&f=J
MT0003272751,Paulina Rubio,Don't Say Goodbye,"Dramatic, Energetic, Exuberant, Intense, Passionate, Playful, Rousing, Stylish, Summery",http://rovimusic.rovicorp.com/playback.mp3?c=S3Z2ciutL0q-HFAD4svm62jIb8Tr8vVfGLIuM5x_WSg=&f=J
MT0003280103,John Gorka,I Know,"Calm, Neutral, Rustic, Somber",http://rovimusic.rovicorp.com/playback.mp3?c=wPp2aUNOCisz-IBUYxQvNvKUU23ZQzDPVjJ3ONioHGo=&f=J
MT0003286463,The Black Eyed Peas,They Don't Want Music,"Cathartic, Exciting, Fiery, Gutsy, Rambunctious",http://rovimusic.rovicorp.com/playback.mp3?c=gOHsp-_sVBE28WJmnUYZ9YapJnH0KBK7tayJ1L1z1aM=&f=J
MT0003300388,Louis Armstrong,Stormy Weather [Index0:breakdown/index1:complete Alternative Take,"Bitter, Brooding, Gloomy, Lush, Sad, Unsettling, Weary",http://rovimusic.rovicorp.com/playback.mp3?c=kWgiM6bWttqYCTUKBYmOVYapJnH0KBK7tayJ1L1z1aM=&f=J
MT0003311798,Suicide,Fast Money Music,"Cold, Eerie, Ominous",http://rovimusic.rovicorp.com/playback.mp3?c=MS0d9o6sComz7im8KK45xPQIxMnXLaW9NvEpt_rvU6E=&f=J
MT0003326925,Gorilla Biscuits,Big Mouth,"Angry, Harsh, Hostile, Malevolent, Outrageous, Reckless",http://rovimusic.rovicorp.com/playback.mp3?c=9P6_sijEXlIkaPBgVGEbr_QIxMnXLaW9NvEpt_rvU6E=&f=J
MT0003349423,David Murray Octet,Hope Scope,"Fierce, Nihilistic, Outrageous, Reckless",http://rovimusic.rovicorp.com/playback.mp3?c=A4qF0LAfnhn8dVMIlD4tkYapJnH0KBK7tayJ1L1z1aM=&f=J
MT0003352308,Motörhead,Dead and Gone,"Gloomy, Lonely, Sad, Serious",http://rovimusic.rovicorp.com/playback.mp3?c=82LtG50SP8T9rn-OY-9LJvQIxMnXLaW9NvEpt_rvU6E=&f=J
MT0003362542,Fabolous,What Should I Do,"Anguished, Distraught, Bleak, Gloomy, Somber",http://rovimusic.rovicorp.com/playback.mp3?c=VuPdYzaalLDgfS--mW5-5fh0BJxFGWncDvRkmPV4knk=&f=J
MT0003366948,Larry Carlton,The Lord's Prayer,"Calm, Neutral, Lazy, Precious",http://rovimusic.rovicorp.com/playback.mp3?c=kofMsi7NJ6InYIbWcAY-p6wfpsQHuOlGC4-o-yXc8Os=&f=J
MT0003390733,Cherrelle,I Didn't Mean to Turn You On,"Exciting, Sexy, Sparkling",http://rovimusic.rovicorp.com/playback.mp3?c=HKkgAsahzUus1Z06hT7CmIapJnH0KBK7tayJ1L1z1aM=&f=J
MT0003396470,Fennesz,A Year in a Minute,"Clinical, Complex, Detached, Eerie",http://rovimusic.rovicorp.com/playback.mp3?c=X1-O8snY_ZUmvEoHaeZ7KjqpU4hxl5saPDaNIVORh-E=&f=I
MT0003402538,Marvin Gaye,I Wish I Liked You (As Much as I Love You),"Gloomy, Sad, Theatrical",http://rovimusic.rovicorp.com/playback.mp3?c=v3-ICR-UDAuiteruKUL6f_QIxMnXLaW9NvEpt_rvU6E=&f=J
MT0003420996,Roberta Flack,Ballad of the Sad Young Men,"Gloomy, Lonely, Sad, Serious",http://rovimusic.rovicorp.com/playback.mp3?c=FV-kCWgJsKfgkxz298q8-f3pqi0RS20pHqZddGAWQOA=&f=J
MT0003435704,Deana Carter,Absence of the Heart,"Anguished, Distraught, Gloomy, Sad, Somber, Weary",http://rovimusic.rovicorp.com/playback.mp3?c=6pfdoGg__Omg8vzneoC49_h0BJxFGWncDvRkmPV4knk=&f=J
MT0003442366,Still Breathing,Prevails,"Negative, Nervous, Jittery",http://rovimusic.rovicorp.com/playback.mp3?c=0dcrTuL0fkzQT5rk7-8F-v3pqi0RS20pHqZddGAWQOA=&f=J
MT0003454112,Kenny G,Brahms' Lullaby,"Innocent, Precious, Reserved, Soft, Quiet, Spiritual",http://rovimusic.rovicorp.com/playback.mp3?c=CFKZ8z-WTNc7Slv20rq0fDqpU4hxl5saPDaNIVORh-E=&f=J
MT0003462877,Against All Authority,All Fall Down,"Cynical, Sarcastic, Fierce, Outraged",http://rovimusic.rovicorp.com/playback.mp3?c=uIUezmQSWS8Im-TNHzfcjYapJnH0KBK7tayJ1L1z1aM=&f=J
MT0003501434,Ani DiFranco,Modulation,"Cerebral, Complex, Difficult, Gritty, Intense, Organic, Self-Conscious",http://rovimusic.rovicorp.com/playback.mp3?c=JZcB5iIoTojGDqOhbrTrMIapJnH0KBK7tayJ1L1z1aM=&f=J
MT0003530174,Taxi,Love Fool,"Lonely, Sad, Technical",http://rovimusic.rovicorp.com/playback.mp3?c=yDQWDdyif4DCK2R6Py_xfYapJnH0KBK7tayJ1L1z1aM=&f=J
